The Mitchells vs. The Machines,The Card Counter,Evangelion 3.0+1.0: Thrice Upon a Time,Drive My Car,Titane,The Power of the Dog,Zola,Pig,Red Rocket,The Matrix Resurrections,,,,,
The Hand of God,Titane,Zola,The Card Counter,Dune,C'mon C'mon,The Mitchells vs. The Machines,The French Dispatch,Red Rocket,Judas and the Black Messiah,,,,,
Ste. Anne,Red Moon Tide,Dune,I Was a Simple Man,Lapsis,The Paper Tigers,Beginning,Taipei Suicide Story,The Power of the Dog,A Dim Valley,,,,,
Petite Maman,Mass,The Worst Person in the World,Riders of Justice,The Lost Daughter,Drive My Car,The Power of the Dog,CODA,Benedetta,The Mitchells vs. The Machines,,,,,
Titane,Petite Maman,Drive My Car,Memoria,A Hero,The Worst Person in the World,Days,The Card Counter,The Power of the Dog,Test Pattern,,,,,
The Worst Person in the World,In the Heights,Licorice Pizza,The Power of the Dog,Summer of Soul,CODA,Parallel Mothers,Memoria,Flee,The Souvenir Part II,,,,,
The Beatles: Get Back,Memoria,Summer of Soul,Undine,Dune,Ema,Bad Luck Banging or Loony Porn,Licorice Pizza,Days,The Sparks Brothers,,,,,
Drive My Car,Cry Macho,Wheel of Fortune and Fantasy,Old,Zeros and Ones,The Matrix Resurrections,Wrath of Man,F9: The Fast Saga,Long Weekend,Dune,,,,,
Nine Days,Little Fish,Rose Plays Julie,Shiva Baby,Procession,Les Notres,The Dig,The Lost Daughter,Wheel of Fortune and Fantasy,The Power of the Dog,,,,,
Petite Maman,Memoria,Fabian: Going to the Dogs,Wheel of Fortune and Fantasy,What Do We See When We Look at the Sky?,Teenage Emotions,Wood and Water,Red Rocket,Bad Trip,Bergman Island,,,,,
Wheel of Fortune and Fantasy,Licorice Pizza,Drive My Car,The Worst Person in the World,Undine,Petite Maman,"All Light, Everywhere",Bergman Island,The Souvenir Part II,Her Socialist Smile,The Matrix Resurrections,,,,
Red Rocket,Petite Maman,The Power of the Dog,Parallel Mothers,Flee,Shiva Baby,The French Dispatch,Licorice Pizza,The Last Duel,Oasis Knebworth 1996,,,,,
Happening,The Power of the Dog,Memoria,Great Freedom,Petite Maman,Wheel of Fortune and Fantasy,Cryptozoo,I Want to Talk About Duras,Passing,First Time,,,,,
The Power of the Dog,Spencer,Evangelion 3.0+1.0: Thrice Upon a Time,Drive My Car,Labyrinth of Cinema,Judas and the Black Messiah,Wife of a Spy,Passing,Days,The Card Counter,,,,,
Petite Maman,The Worst Person in the World,The Power of the Dog,Pig,Licorice Pizza,Summer of Soul,The Killing of Two Lovers,Drive My Car,The Card Counter,Annette,,,,,
The Power of the Dog,Identifying Features,The French Dispatch,Summer of Soul,Zola,Petite Maman,Memoria,Passing,About Endlessness,The Green Knight,,,,,
Limbo,Dune,Spencer,The Summit of the Gods,One Second,Language Lessons,Akilla's Escape,Judas and the Black Messiah,The Harder They Fall,C'mon C'mon,,,,,
The Power of the Dog,Pig,Dune,The Green Knight,Titane,Annette,Spencer,West Side Story,Mass,Spider-Man: No Way Home,,,,,
Zola,The French Dispatch,Dune,Minari,Pig,C'mon C'mon,Licorice Pizza,Bergman Island,Judas and the Black Messiah,Last Night in Soho,,,,,
Licorice Pizza,West Side Story,Dune,The French Dispatch,Drive My Car,Nightmare Alley,Benedetta,The Green Knight,Red Rocket,Zola,Psycho Goreman,The Suicide Squad,,,
The Power of the Dog,The Green Knight,Petite Maman,Drive My Car,Flee,Dune,Licorice Pizza,The Humans,Azor,The Lost Daughter,,,,,
Titane,Shiva Baby,Dune,The Power of the Dog,First Cow,Minari,The Card Counter,Another Round,Pig,Bo Burnham: Inside,,,,,
Nightmare Alley,The Suicide Squad,Shang-Chi and the Legend of the Ten Rings,Old Henry,The Mitchells vs. The Machines,Riders of Justice,Dune,Last Night in Soho,Malignant,The Green Knight,,,,,
The Power of the Dog,Drive My Car,West Side Story,The Souvenir Part II,CODA,Spencer,Annette,The Lost Daughter,Bergman Island,Summer of Soul,,,,,
Drive My Car,The Power of the Dog,Faya Dayi,Passing,Summer of Soul,Parallel Mothers,Ailey,The Humans,Spencer,The Green Knight,,,,,
Summer of Soul,The Power of the Dog,Drive My Car,Passing,Compartment No. 6,The Lost Daughter,West Side Story,"All Light, Everywhere",I'm Your Man,The Humans,,,,,
Drive My Car,The Power of the Dog,The Worst Person in the World,Parallel Mothers,The Lost Daughter,The Souvenir Part II,West Side Story,Petite Maman,Passing,The Tragedy of Macbeth,,,,,
Summer of Soul,Nomadland,Promising Young Woman,The Power of the Dog,Sound of Metal,Judas and the Black Messiah,Supernova,The Reason I Jump,MInari,C'mon C'mon,,,,,
Summer of Soul,Dune,"tick, tick...BOOM!",The Tragedy of Macbeth,Flee,Passing,Belfast,Zola,The Worst Person in the World,The Power of the Dog,,,,,
Memoria,Drive My Car,Wheel of Fortune and Fantasy,Annette,Days,Procession,"All Light, Everywhere",Bergman Island,Licorice Pizza,Faya Dayi,Summer of Soul,,,,
The Power of the Dog,The Card Counter,Minari,The Green Knight,Annette,The Velvet Underground,The Lost Daughter,Drive My Car,Apples,Zola,,,,,
Belfast,The Power of the Dog,Licorice Pizza,West Side Story,Dune,CODA,In the Heights,The Tragedy of Macbeth,The Lost Daughter,King Richard,,,,,
No Time to Die,The Last Letter From Your Lover,Passing,Last Night in Soho,Petite Maman,Dune,Mothering Sunday,Encounter,The Little Things,CODA,,,,,
Dune,Pig,The Power of the Dog,Bo Burnham: Inside,Licorice Pizza,West Side Story,Cyrano,The Worst Person in the World,King Richard,The Harder They Fall,,,,,
What Do We See When We Look at the Sky?,Memoria,Drive My Car,France,Days,Wheel of Fortune and Fantasy,West Side Story,Old,Malmkrog,Pig,,,,,
The Worst Person in the World,The Green Knight,The Power of the Dog,Bo Burnham: Inside,Pig,Identifying Features,West Side Story,A Hero,In the Heights,The Killing of Two Lovers,,,,,
The Power of the Dog,Bo Burnham: Inside,Annette,Drive My Car,Licorice Pizza,The Green Knight,C'mon C'mon,The Worst Person in the World,Pig,Dune,,,,,
Spider-Man: No Way Home,"tick, tick...BOOM!",Mass,Dune,The Mitchells vs. The Machines,CODA,Billie Eilish: The World's a Little Blurry,In the Heights,Belfast,Eternals,,,,,
Pig,Drive My Car,Titane,The Green Knight,Flee,Licorice Pizza,The Tragedy of Macbeth,The Worst Person in the World,Luca,Cyrano,,,,,
Parallel Mothers,Titane,The Power of the Dog,Licorice Pizza,Dune,The Green Knight,Drive My Car,West Side Story,Mass,The Last Duel,,,,,
Boiling Point,Flee,Mass,The Last Duel,Language Lessons,The Mitchells vs. The Machines,Pig,The Green Knight,"tick, tick...BOOM!",Licorice Pizza,,,,,
Limbo,The Power of the Dog,Riders of Justice,Nine Days,CODA,The French Dispatch,Nobody,C'mon C'mon,Spider-Man: No Way Home,Mass,,,,,
The Green Knight,Drive My Car,Licorice Pizza,C'mon C'mon,Dune,Titane,The Power of the Dog,Pig,A Hero,In the Heights,,,,,
Dune,Drive My Car,Mass,In the Heights,Belfast,Spencer,Nine Days,Flee,Parallel Mothers,The Suicide Squad,,,,,
Cruella,"tick, tick...BOOM!",The Electrical Life of Louis Wain,Flee,The Harder They Fall,CODA,Belfast,Spencer,The Tragedy of Macbeth,Mass,,,,,
Dune,Luca,Spider-Man: No Way Home,Nine Days,Mass,Don't Look Up,Flee,"tick, tick...BOOM!",Shiva Baby,The Eyes of Tammy Faye,,,,,
Belfast,Flee,The Tragedy of Macbeth,The Mitchells vs. The Machines,Hive,West Side Story,Cyrano,The Power of the Dog,Red Rocket,C'mon C'mon,,,,,
The Mitchells vs. The Machines,The Green Knight,CODA,Dune,The Matrix Resurrections,Encanto,No Time to Die,"tick, tick...BOOM!",Malignant,Shang-Chi and the Legend of the Ten Rings,,,,,
CODA,The Green Knight,Pig,Nine Days,C'mon C'mon,The Tragedy of Macbeth,Shiva Baby,Together Together,The French Dispatch,In the Heights,,,,,
First Cow,The Power of the Dog,Nomadland,Minari,Dune,C'mon C'mon,Gunda,Night of the Kings,Promising Young Woman,Zola,,,,,
The Power of the Dog,Licorice Pizza,Drive My Car,Flee,Titane,Summer of Soul,Memoria,The Card Counter,The Green Knight,Parallel Mothers,,,,,
Azor,The Card Counter,Martin Eden,The Power of the Dog,Spencer,Annette,Titane,Another Round,The Nest,Dear Comrades,,,,,
Drive My Car,"Quo Vadis, Aida?",Licorice Pizza,Beginning,Brighton 4th,Bad Luck Banging or Loony Porn,The French Dispatch,Wheel of Fortune and Fantasy,"This Is Not a Burial, It's a Resurrection",The Power of the Dog,,,,,
The Tragedy of Macbeth,Drive My Car,Licorice Pizza,The Power of the Dog,Bergman Island,The French Dispatch,Undine,The Souvenir Part II,Cry Macho,Things Heard & Seen,,,,,
Nightmare Alley,The Card Counter,The Power of the Dog,Licorice Pizza,The Velvet Underground,C'mon C'mon,No Sudden Move,Roadrunner: A Film About Anthony Bourdain,Summer of Soul,The Worst Person in the World,,,,,
Respect,The United States vs. Billie Holiday,Summer of Soul,Licorice Pizza,The Sparks Brothers,The Velvet Underground,Nomadland,Zola,The Power of the Dog,Pig,Swan Song,Black Widow,Cruella,Shang-Chi and the Legend of the Ten Rings,
The Green Knight,In the Heights,The Mitchells vs. The Machines,"This Is Not a Burial, It's a Resurrection",CODA,Licorice Pizza,Dune,Drive My Car,"Quo Vadis, Aida?",The Power of the Dog,,,,,
The Power of the Dog,The Souvenir Part II,Summer of Soul,Licorice Pizza,Mass,The Beatles: Get Back,CODA,The Velvet Underground,Mogul Mowgli,West Side Story,,,,,
Titane,Licorice Pizza,Drive My Car,Parallel Mothers,The Card Counter,The Souvenir Part II,Minari,Summer of Soul,Annette,Dune,,,,,
Drive My Car,The Souvenir Part II,Procession,Memoria,Days,Parallel Mothers,Petite Maman,The Disciple,The Green Knight,The Power of the Dog,,,,,
The Power of the Dog,West Side Story,Titane,Barb & Star Go to Vista Del Mar,Swan Song [Todd Stephens film],The Last Duel,Shiva Baby,Fear Street trilogy,In the Heights,"tick, tick...BOOM!",,,,,
Red Rocket,Drive My Car,Wheel of Fortune and Fantasy,The French Dispatch,Bad Luck Banging or Loony Porn,Spencer,Arrebato,The Power of the Dog,The Green Knight,Summer of Soul,Cryptozoo,,,,
Summer of Soul,The Lost Daughter,Passing,West Side Story,Saint Maud,Last Night in Soho,The Last Duel,"tick, tick...BOOM!",Red Rocket,Poppy Field,,,,,
The Tragedy of Macbeth,Drive My Car,Passing,About Endlessness,The Amusement Park,Memoria,In the Heights,The Power of the Dog,Spencer,Pig,,,,,
Wheel of Fortune and Fantasy,Drive My Car,"Quo Vadis, Aida?",Parallel Mothers,Summer of Soul,The Beatles: Get Back,Petite Maman,The Lost Daughter,Spencer,The Card Counter,,,,,
The Power of the Dog,Bergman Island,The Souvenir Part II,Memoria,Drive My Car,Petite Maman,Pig,Licorice Pizza,Saint Maud,Red Rocket,,,,,
Spider-Man: No Way Home,Dune,Licorice Pizza,West Side Story,King Richard,The French Dispatch,No Time to Die,The Green Knight,Titane,The Suicide Squad,,,,,
Beginning,Bo Burnham: Inside,Wojnarowicz: F--- You F-ggot F---er,Playdurizm,Memoria,Benedetta,Dear Evan Hansen,The Power of the Dog,Barb & Star Go to Vista Del Mar,Come True,Maanaadu,Parallel Mothers,The Scary of Sixty-First,Spencer,Bad Luck Banging or Loony Porn
Belfast,Licorice Pizza,The Worst Person in the World,Red Rocket,Dear Comrades!,The Last Duel,Shang-Chi and the Legend of the Ten Rings,The Velvet Underground,Luca,C'mon C'mon,,,,,
Belfast,Don't Look Up,Cyrano,Nightmare Alley,No Time to Die,King Richard,The Green Knight,The Beatles: Get Back,The French Dispatch,The Harder They Fall,,,,,
Licorice Pizza,Dune,Mass,In the Heights,Free Guy,Barb & Star Go to Vista Del Mar,Luca,King Richard,"tick, tick...BOOM!",The Tragedy of Macbeth,,,,,
Drive My Car,The Power of the Dog,The Velvet Underground,Summer of Soul,Passing,Azor,The Card Counter,The Disciple,Wheel of Fortune and Fantasy,Spencer,,,,,
Summer of Soul,Bad Luck Banging or Loony Porn,The Power of the Dog,Petite Maman,Bring Your Own Brigade,Bergman Island,Drive My Car,Memoria,West Side Story,The Velvet Underground,,,,,
The French Dispatch,Licorice Pizza,Zola,I Was a Simple Man,In the Same Breath,C'mon C'mon,Passing,Pebbles,Petite Maman,Procession,,,,,
West Side Story,Nightmare Alley,Cruella,The Last Duel,The Power of the Dog,The French Dispatch,King Richard,Judas and the Black Messiah,The Lost Daughter,The Velvet Underground,,,,,
Sound of Metal,Dune,Palm Springs,Minari,Nomadland,Summer of Soul,Shiva Baby,The Sparks Brothers,No Time to Die,Shang-Chi and the Legend of the Ten Rings,,,,,
The Souvenir Part II,Judas and the Black Messiah,West Side Story,Drive My Car,Licorice Pizza,Night Raiders,Beans,Nine Days,Summer of Soul,Titane,,,,,
Flee,The Power of the Dog,The Lost Daughter,Parallel Mothers,C'mon C'mon,The Souvenir Part II,The Worst Person in the World,The Green Knight,Dune,"tick, tick...BOOM!",West Side Story,Drive My Car,Barb & Star Go to Vista Del Mar,,
Petite Maman,Summer of Soul,The Green Knight,Another Round,Titane,Censor,Sound of Metal,After Love,Spencer,"Quo Vadis, Aida?",,,,,
The Lost Daughter,The Green Knight,The Card Counter,Spencer,Drive My Car,The Worst Person in the World,The Power of the Dog,Petite Maman,"Quo Vadis, Aida?",Licorice Pizza,,,,,
Proce,Swimming Out Til the Sea Turns Blue,The Velvet Underground,The Woman Who Ran,Bad Luck Banging or Loony Porn,Days,There Is No Evil,The Power of the Dog,Preparations to Be Together for an Unknown Period of Time,Drive My Car,,,,,
Drive My Car,Bad Luck Banging or Loony Porn,No Sudden Move,The Velvet Underground,The Power of the Dog,Licorice Pizza,Pig,The Worst Person in the World,Shiva,The Card Counter,,,,,
What Do We See When We Look at the Sky?,Licorice Pizza,Wheel of Fortune and Fantasy,Drive My Car,The Power of the Dog,Herr Bachmann and His Class,Bad Luck Banging or Loony Porn,The Velvet Underground,The Worst Person in the World,,,,,,
The Lost Daughter,The Card Counter,The Power of the Dog,The Worst Person in the World,Licorice Pizza,Bergman Island,Titane,Bad Luck Banging or Loony Porn,Annette,,,,,,
The Green Knight,Drive My Car,Memoria,C'mon C'mon,Benedetta,Nine Days,Days,Licorice Pizza,"This Is Not a Burial, It's a Resurrection",West Side Story,,,,,
West Side Story,King Richard,Licorice Pizza,The Power of the Dog,Passing,Shang-Chi and the Legend of the Ten Rings,CODA,Nightmare Alley,Belfast,Summer of Soul,,,,,
The Power of the Dog,In the Heights,Spencer,The Tragedy of Macbeth,West Side Story,The Lost Daughter,The Green Knight,The Last Duel,Titane,Shiva Baby,,,,,
Belfast,West Side Story,King Richard,The Mitchells vs. The Machines,"tick, tick...BOOM!",The Power,In the Heights,Cyrano,Encanto,Shang-Chi and the Legend of the Ten Rings,,,,,
Licorice Pizza,The Power of the Dog,The Green Knight,Titane,Dune,The French Dispatch,Pig,Spencer,"This Is Not a Burial, It's a Resurrection",The Card Counter,,,,,
