Lovers Rock,The Cloud in Her Room,The History of the Seattle Mariners,Fourteen,To the Ends of the Earth,Labyrinth of Cinema,The Inheritance,The Woman Who Ran,The Giverny Document,Beginning,,,,,,,,,,
Dick Johnson Is Dead,Minari,Nomadland,Borat Subsequent Moviefilm,Collective,Lovers Rock,Bacurau,Let Them All Talk,Black Bear,The Old Guard,,,,,,,,,,
Lovers Rock,I'm Thinking of Ending Things,Nomadland,Possessor Uncut,Promising Young Woman,Undine,Rocks,Never Rarely Sometimes Always,Summer of '85,Saint Maud,,,,,,,,,,
The Trial of the Chicago 7,News of the World,Promising Young Woman,Minari,The Midnight Sky,Mank,Tenet,Borat Subsequent Moviefilm,The Life Ahead,On the Rocks,The Prom,,,,,,,,,
Nomadland,The Father,Promising Young Woman,Dick Johnson Is Dead,Mangrove,Into the Deep,Soul,The King of Staten Island,The Outpost,Devil Between the Legs,,,,,,,,,,
The Trial of the Chicago 7,The Invisible Man,Promising Young Woman,Da 5 Bloods,Palm Springs,Mank,Birds of Prey,Ma Rainey's Black Bottom,Wonder Woman 1984,Nomadland,,,,,,,,,,
Martin Eden,City Hall,Lovers Rock,First Cow,The Wild Goose Lake,Young Ahmed,Possessor Uncut,Tommaso,We Are Little Zombies,"Bloody Nose, Empty Pockets",,,,,,,,,,
Swallow,Promising Young Woman,Dick Johnson Is Dead,Spontaneous,The Forty-Year-Old Version,Black Bear,Father Soldier Son,The Kid Detective,The Painter and the Thief,Hubie Halloween,,,,,,,,,,
Parasite,Portrait of a Lady on Fire,Uncut Gems,Rocks,Saint Maud,The Invisible Man,Lovers Rock,The Lighthouse,Mank,Jojo Rabbit,,,,,,,,,,
Nomadland,Minari,Soul,First Cow,The White Tiger,Emma,Kajillionaire,One Night in Miami,Promising Young Woman,Dick Johnson Is Dead,,,,,,,,,,
Dick Johnson Is Dead,First Cow,I'm Thinking of Ending Things,The Painted Bird,"Bloody Nose, Empty Pockets",Nomadland,The Wild Goose Lake,Martin Eden,Minari,The Assistant,,,,,,,,,,
Nomadland,Feels Good Man,His House,Possessor Uncut,I'm Thinking of Ending Things,Never Rarely Sometimes Always,Dick Johnson Is Dead,Kajillionaire,Sonic the Hedgehog,The Invisible Man,,,,,,,,,,
First Cow,Never Rarely Sometimes Always,About Endlessness,Limbo,I'm Thinking of Ending Things,Minari,Nomadland,The Woman Who Ran,A Thousand Cuts,Beanpole,,,,,,,,,,
First Cow,Martin Eden,Lovers Rock,Wolfwalkers,What the Constitution Means to Me,Blow the Man Down,Nomadland,Driveways,Da 5 Bloods,The Nest,,,,,,,,,,
Sound of Metal,Spontaneous,Never Rarely Sometimes Always,Underwater,Possessor Uncut,Lovers Rock,News of the World,Nomadland,Minari,Palm Springs,,,,,,,,,,
Mank,Bacurau,A Whisker Away,The Painted Bird,Never Rarely Sometimes Always,Palm Springs,The Painter and the Thief,Rewind,I'm Thinking of Ending Things,The Twentieth Century,,,,,,,,,,
We Are Little Zombies,Possessor Uncut,Da 5 Bloods,I'm Thinking of Ending Things,Small Axe,Never Rarely Sometimes Always,Wolfwalkers,She Dies Tomorrow,Sound of Metal,The Wild Goose Lake,,,,,,,,,,
Minari,The Invisible Man,Promising Young Woman,Bill & Ted Face the Music,The Wolf of Snow Hollow,David Byrne's American Utopia,Possessor Uncut,Jallikattu,Bacurau,Host,,,,,,,,,,
Talking About Trees,The Grand Bizarre,Time,Jallikattu,Girls Always Happy,First Cow,Never Rarely Sometimes Always,Bacurau,Residue,The Twentieth Century,,,,,,,,,,
Nomadland,First Cow,Minari,Lovers Rock,Possessor Uncut,Never Rarely Sometimes Always,Sound of Metal,The Vast of Night,The Assistant,One Night in Miami,,,,,,,,,,
Lovers Rock,First Cow,One Night in Miami,Sound of Metal,The Painter and the Thief,The Truffle Hunters,Mank,The Trip to Greece,I'm Thinking of Ending Things,Ma Rainey's Black Bottom,,,,,,,,,,
Lovers Rock,Soul,First Cow,Vitalina Varela,Relic,Dick Johnson Is Dead,The Assistant,The Forty-Year-Old Version,"Bloody Nose, Empty Pockets",Mangrove,,,,,,,,,,
Promising Young Woman,The Assistant,I'm Thinking of Ending Things,Never Rarely Sometimes Always,Vitalina Varela,First Cow,Black Bear,The Nest,Swallow,Time,,,,,,,,,,
City Hall,Mangrove,Nomadland,Time,Never Rarely Sometimes Always,Welcome to Chechnya,First Cow,A Sun,Minari,"Red, White and Blue",,,,,,,,,,
To the Ends of the Earth,Da 5 Bloods,Undine,First Cow,Nomadland,Siberia,Bloodshot,Palm Springs,The Way Back,Never Rarely Sometimes Always,,,,,,,,,,
Sound of Metal,Babyteeth,I'm Thinking of Ending Things,Collective,New Order,Shadow of Violence,One Night in Miami,She Dies Tomorrow,Never Rarely Sometimes Always,Ma Rainey's Black Bottom,,,,,,,,,,
Time,First Cow,Lovers Rock,Vitalina Varela,Tesla,Mayor,Never Rarely Sometimes Always,City Hall,Hill of Freedom,Yourself and Yours,Collective,,,,,,,,,
Education,Lovers Rock,David Byrne's American Utopia,Sound of Metal,Ema,I'm Thinking of Ending Things,Promising Young Woman,Another Round,The Twentieth Century,Emma,,,,,,,,,,
Nomadland,The Metamorphosis of Birds,Beginning,Never Rarely Sometimes Always,Shirley,The Disciple,Da 5 Bloods,The Whaler Boy,Lovers Rock,The Story of Southern Islet,,,,,,,,,,
Martin Eden,To the Ends of the Earth,Fourteen,The Grand Bizarre,"I Was at Home, But …",The Traitor,Heimat Is a Space in Time,First Cow,Vitalina Varela,The Whistlers,,,,,,,,,,
Spontaneous,Promising Young Woman,Nomadland,The Vast of Night,Blow the Man Down,The Invisible Man,Minari,Possessor Uncut,Feels Good Man,Color Out of Space,,,,,,,,,,
Mangrove,Birds of Prey,Tenet,Saint Maud,Black Bear,Da 5 Bloods,Another Round,Possessor Uncut,The Invisible Man,Never Rarely Sometimes Always,,,,,,,,,,
Dick Johnson Is Dead,First Cow,Time,Da 5 Bloods,Palm Springs,Shirley,Emma,Sound of Metal,Bacurau,Boys State,,,,,,,,,,
