Spotlight,The Martian,Room,Inside Out,Me and Earl and the Dying Girl,Brooklyn,Black Mass,Bridge of Spies,The Revenant,The Big Short,,,,,,
The Assassin,The Duke of Burgundy,Mad Max: Fury Road,45 Years,Hard to Be a God,The Forbidden Room,Carol,Jauja,A Pigeon Sat on a Branch Reflecting on Existence,Arabian Nights,,,,,,
45 Years,The Lobster,The Club,Carol,Eden,Mad Max: Fury Road,Anomalisa,Queen of Earth,Spotlight,Listen to Me Marlon,,,,,,
Room,Spotlight,The Walk,The Good Dinosaur,Mad Max: Fury Road,The Big Short,Inside Out,Creed,The Duke of Burgundy,Tangerine,,,,,,
The Lobster,Carol,Spotlight,Room,Star Wars: The Force Awakens,Mistress America,Sicario,Queen of Earth,Inside Out,Mad Max: Fury Road,,,,,,
The Lobster,45 Years,Carol,Mad Max: Fury Road,Inside Out,The Diary of a Teenage Girl,Phoenix,Cemetery Of Splendour,The Duke of Burgundy,Ex Machina,,,,,,
The Revenant,World of Tomorrow,Sicario,Inside Out,Ex Machina,The Duke of Burgundy,Tangerine,James White,Mad Max: Fury Road,The Tribe,,,,,,
Brooklyn,Mustang,The Diary of a Teenage Girl,45 Years,Mad Max: Fury Road,Wild Tales,It Follows,Far From the Madding Crowd,Ex Machina,The End of the Tour,,,,,,
45 Years,Brooklyn,Sicario,Spotlight,Carol,Li’l Quinquin,Steve Jobs,Mustang,Mistress America,Anomalisa,,,,,,
Mad Max: Fury Road,Mustang,Son of Saul,Room,Breathe,Spotlight,Macbeth,Mistress America,Cartel Land,Carol,,,,,,
The Hateful Eight,The Martian,Spotlight,Carol,The Big Short,Sicario,Inside Out,The Revenant,Creed,Mad Max: Fury Road,,,,,,
In Jackson Heights,Carol,The Assassin,Clouds of Sils Maria,Timbuktu,Hard to Be a God,Arabian Nights,The Look of Silence,Eastern Boys,Horse Money,,,,,,
The Big Short,Entertainment,Mad Max: Fury Road,Anomalisa,Son of Saul,James White,Amy,Carol,Beasts of No Nation,Call Me Lucky,,,,,,
Timbuktu,Horse Money,"What Happened, Miss Simone?",Sicario,About Elly,The Grief of Others,The Duke of Burgundy,Tangerine,Listen to Me Marlon,Jafar Panahi's Taxi [aka Taxi Tehran],,,,,,
Carol,Magic Mike XXL,The Forbidden Room,Mad Max: Fury Road,Timbuktu,The Russian Woodpecker,Creed,Blackhat,Tangerine,Straight Outta Compton,,,,,,
Mad Max: Fury Road,Tangerine,Creed,Carol,Brooklyn,The Mend,Girlhood,Magic Mike XXL,The Duke of Burgundy,Eden,,,,,,
The End of the Tour,Love & Mercy,Where to Invade Next,Bridge of Spies,Truth,99 Homes,Güeros,Tangerine,Jafar Panahi's Taxi [aka Taxi Tehran],,,,,,,
Mad Max: Fury Road,Phoenix,The Martian,Timbuktu,Ex Machina,A Pigeon Sat on a Branch Reflecting on Existence,Bridge of Spies,99 Homes,Wild Tales,It Follows,,,,,,
Love & Mercy,Ex Machina,Inside Out,Mad Max: Fury Road,Tangerine,Phoenix,Bridge of Spies,The Mend,Girlhood,(tie) Blackhat,(tie) Dope,,,,,
Spotlight,Inside Out,Brooklyn,Matt Shepard is a Friend of Mine,The Look of Silence,Mad Max: Fury Road,Mustang,It Follows,About Elly,Bridge of Spies,,,,,,
The Assassin,Jauja,Tangerine,Mad Max: Fury Road,It Follows,About Elly,The Iron Ministry,The Wonders,Chi-Raq,In Jackson Heights,,,,,,
The Diary of a Teenage Girl,Inside Out,Anomalisa,Almost There,Keeper,Son of Saul,James White,Star Wars: The Force Awakens,Youth,Gett: The Trial of Viviane Amsalem,,,,,,
Brooklyn,The Look of Silence,Magic Mike XXL,45 Years,Spotlight,Slow West,Mommy,Carol,Clouds of Sils Maria,Mistress America,,,,,,
Mad Max: Fury Road,Tangerine,Mistress America,Brooklyn,Arabian Nights,Clouds of Sils Maria,Timbuktu,Jafar Panahi's Taxi [aka Taxi Tehran],Buzzard,Listen to Me Marlon,,,,,,
Creed,Brooklyn,Inside Out,Straight Outta Compton,Call Me Lucky,Mad Max: Fury Road,Tangerine,Spotlight,Chi-Raq,The Walk,,,,,,
Phoenix,Buzzard,Carol,Heaven Knows What,Approaching the Elephant,In Jackson Heights,The Assassin,The Hateful Eight,We Come As Friends,Tangerine,,,,,,
Hard to Be a God,Anomalisa,Girlhood,Horse Money,Mad Max: Fury Road,Heart of a Dog,Heaven Knows What,Brooklyn,The Hateful Eight,Shaun the Sheep Movie,,,,,,
The Assassin,Clouds of Sils Maria,Horse Money,Carol,Jauja,Experimenter,Brooklyn,Arabian Nights,Phoenix,Queen of Earth,,,,,,
About Elly,Clouds of Sils Maria,Girlhood,Magic Mike XXL,Mad Max: Fury Road,Phoenix,Creed,By the Sea,Jafar Panahi's Taxi [aka Taxi Tehran],Brooklyn,,,,,,
It Follows,Inside Out,Eastern Boys,The Wonders,Creed,"Something, Anything",Brooklyn,Mad Max: Fury Road,Jauja,The Spongebob Movie: Sponge Out of Water,,,,,,
Gett: The Trial of Viviane Amsalem,In Jackson Heights,Listen to Me Marlon,Chi-Raq,The Look of Silence,Mad Max: Fury Road,Horse Money,Creed,Mission: Impossible: Rogue Nation,Ex Machina,,,,,,
Mad Max: Fury Road,The Hateful Eight,Bridge of Spies,Anomalisa,Spotlight,Inside Out,It Follows,The New Girlfriend,The Ocean of Helena Lee,Ex Machina,,,,,,
Mad Max: Fury Road,Inside Out,Spotlight,Cartel Land,Star Wars: The Force Awakens,The End of the Tour,The World of Tomorrow,Brooklyn,Slow West,Goodnight Mommy,,,,,,
Chi-Raq,Carol,The Assassin,The Grief of Others,45 Years,Mad Max: Fury Road,Blackhat,Crimson Peak,Experimenter,Mississippi Grind,,,,,,
Mad Max: Fury Road,Carol,Phoenix,Son of Saul,Inside Out,45 Years,Brooklyn,James White,The Hateful Eight,Chi-Raq,,,,,,
Spotlight,Steve Jobs,Carol,Mad Max: Fury Road,Brooklyn,Straight Outta Compton,Tangerine,The Martian,Star Wars: The Force Awakens,Anomalisa,Inside Out,,,,,
Carol,Son of Saul,Timbuktu,Phoenix,The Black Panthers: Vanguard of the Revolution,Tangerine,In Jackson Heights,The Diary of a Teenage Girl,Mommy,Welcome to Me,About Elly,,,,,
Room,Jafar Panahi's Taxi [aka Taxi Tehran],Mad Max: Fury Road,Spotlight,Inside Out,The Tribe,The Martian,The Hunting Ground,Star Wars: The Force Awakens,Steve Jobs,,,,,,
Spotlight,The Look of Silence,Steve Jobs,Room,Sicario,Ex Machina,Amy,The Second Mother,The Revenant,Grandma,,,,,,
Brooklyn,Bridge of Spies,Carol,The Big Short,Spotlight,Southpaw,3 Hearts,Love & Mercy,45 Years,Star Wars: The Force Awakens,,,,,,
Inside Out,The Assassin,Jafar Panahi's Taxi [aka Taxi Tehran],The End of the Tour,Maps to the Stars,Mad Max: Fury Road,The Royal Road,A Pigeon Sat on a Branch Reflecting on Existence,Sicario,Creed,,,,,,
Carol,About Elly,Son of Saul,45 Years,Timbuktu,Clouds of Sils Maria,Spotlight,The Look of Silence,Best of Enemies,Mustang,,,,,,
Mad Max: Fury Road,Spotlight,Mommy,Room,Love & Mercy,Ex Machina,The Big Short,Tangerine,Straight Outta Compton,Star Wars: The Force Awakens,,,,,,
Inside Out,Anomalisa,Mad Max: Fury Road,The Duke of Burgundy,The Look of Silence,Bridge of Spies,The Walk,The Hateful Eight,Tangerine,Ex Machina,,,,,,
Carol,Mad Max: Fury Road,Beasts of No Nation,Inside Out,Brooklyn,Anomalisa,Victoria,It Follows,Clouds of Sils Maria,45 Years,,,,,,
