mother!,BPM (Beats Per Minute),The Square,Wonder Woman,Lady Bird,Dawson City: Frozen Time,A Ghost Story,Foxtrot,Princess Cyd,4 Days in France,,,
On the Beach at Night Alone,The Work,Faces Places,Princess Cyd,Good Time,Baahubali 2: The Conclusion,The Post,Resident Evil: The Final Chapter,BPM (Beats Per Minute),Star Wars: The Last Jedi,,,
Call Me by Your Name,BPM (Beats Per Minute),A Ghost Story,Foxtrot,mother!,Nocturama,Happy End,Get Out,The Great Buddha+,Golden Exits,,,
Call Me by Your Name,War for the Planet of the Apes,The Shape of Water,The Florida Project,Dunkirk,Jane,Foxtrot,Faces Places,You Were Never Really Here,Thelma,,,
The Shape of Water,Brigsby Bear,War for the Planet of the Apes,Get Out,The Post,Lady Bird,Call Me by Your Name,Logan,"I, Tonya",It,,,
mother!,Lady Bird,A Ghost Story,The Big Sick,Dunkirk,Get Out,The Killing of a Sacred Deer,John Wick: Chapter 2,War for the Planet of the Apes,The Beguiled,,,
Mudbound,Lady Bird,The Florida Project,"Three Billboards Outside Ebbing, Missouri",Get Out,Logan Lucky,Okja,Phantom Thread,"I, Tonya",Call Me by Your Name,,,
Good Time,Lady Bird,The Beguiled,The Florida Project,Get Out,Dunkirk,"Three Billboards Outside Ebbing, Missouri",The Lost City of Z,The Shape of Water,T2 Trainspotting,,,
Get Out,Blade Runner 2049,Coco,Logan,Dunkirk,Star Wars: The Last Jedi,It,John Wick: Chapter 2,Lady Bird,The Disaster Artist,,,
Call Me by Your Name,The Florida Project,Get Out,Phantom Thread,Lady Bird,The Post,The Shape of Water,Blade Runner 2049,A Ghost Story,Lady Macbeth,,,
World of Tomorrow Episode Two: The Burden of Other People’s Thoughts,Blade Runner 2049,Lady Bird,The Handmaiden,Get Out,Baby Driver,Your Name,Dunkirk,The Lost City of Z,Raw,,,
"Three Billboards Outside Ebbing, Missouri",Lady Bird,Call Me by Your Name,The Post,BPM (Beats Per Minute),The Insult,California Typewriter,Brad's Status,Film Stars Don't Die in Liverpool,Downsizing,,,
Call Me by Your Name,Lady Bird,BPM (Beats Per Minute),The Shape of Water,A Fantastic Woman,"Three Billboards Outside Ebbing, Missouri",God's Own Country,Raw,Get Out,Dunkirk,,,
Call Me by Your Name,A Ghost Story,The Shape of Water,Personal Shopper,Marjorie Prime,Graduation,Get Out,A Quiet Passion,Rat Film,My Friend Dahmer,,,
Downsizing,Call Me by Your Name,Lady Bird,My Journey Through French Cinema,The Florida Project,Phantom Thread,Graduation,Faces Places,The Shape of Water,Dunkirk,,,
Call Me by Your Name,Get Out,Dunkirk,The Shape of Water,Lady Bird,"Three Billboards Outside Ebbing, Missouri",Jane,Coco,Detroit,The Disaster Artist,,,
Call Me by Your Name,The Shape of Water,Lady Bird,A Fantastic Woman,"Three Billboards Outside Ebbing, Missouri",God's Own Country,Get Out,The Big Sick,The Other Side of Hope,Good Time,,,
Dunkirk,Call Me by Your Name,Get Out,Lady Bird,"Three Billboards Outside Ebbing, Missouri",Wind River,Last Flag Flying,Wonder,Detroit,The Big Sick,,,
The Shape of Water,Get Out,Logan,Spider-Man: Homecoming,Wonder Woman,Baby Driver,It,The LEGO Batman Movie,Blade Runner 2049,Star Wars: The Last Jedi,,,
Get Out,Dunkirk,The Lost City of Z,Lady Bird,Logan,The Florida Project,The Big Sick,The Post,"Three Billboards Outside Ebbing, Missouri",I Am Not Your Negro,,,
Call Me by Your Name,The Florida Project,The Shape of Water,Okja,Get Out,Lady Bird,A Ghost Story,God's Own Country,The Beguiled,A Fantastic Woman,,,
The Shape of Water,Dunkirk,Molly's Game,Baby Driver,The Big Sick,The Square,Wonderstruck,Mudbound,Wind River,,,,
Lady Bird,"Three Billboards Outside Ebbing, Missouri",The Big Sick,Dunkirk,The Florida Project,Blade Runner 2049,Coco,Split,Call Me by Your Name,Phantom Thread,,,
Call Me by Your Name,Moonlight,Get Out,Manchester by the Sea,Personal Shopper,Good Time,Dunkirk,The Florida Project,War for the Planet of the Apes,Song to Song,,,
Call Me by Your Name,Dunkirk,A Ghost Story,Personal Shopper,The Florida Project,Columbus,Lady Bird,Faces Places,The Post,Phantom Thread,,,
Get Out,Foxtrot,Lady Bird,A Fantastic Woman,Phantom Thread,Good Time,The Florida Project,The Ornithologist,Menashe,The Death of Louis XIV,,,
