Parasite,Uncut Gems,The Irishman,Portrait of a Lady on Fire,The Souvenir,Marriage Story,Atlantics,The Last Black Man in San Francisco,The Farewell,(tie) Ad Astra -AND- High Life,,
Parasite,Once Upon a Time in Hollywood,The Irishman,Uncut Gems,The Souvenir,Transit,Under the Silver Lake,Marriage Story,Knives Out,Us,,
Uncut Gems,Once Upon a Time in Hollywood,Parasite,The Irishman,Little Women,Knives Out,Marriage Story,The Lighthouse,Midsommar,The Farewell,,
Parasite,The Irishman,Marriage Story,1917,Little Women,The Souvenir,Once Upon a Time in Hollywood,High Life,Uncut Gems,Pain and Glory,,
Parasite,Once Upon a Time in Hollywood,Ad Astra,Hustlers,Pain and Glory,Tell Me Who I Am,The Farewell,Luce,Marriage Story,Greener Grass,,
Marriage Story,The Farewell,Burning,Eighth Grade,The Favourite,The Souvenir,If Beale Street Could Talk,Knives Out,Rocketman,The Irishman,,
Avengers: Endgame,Joker,Us,Knives Out,Jojo Rabbit,Parasite,Ready or Not,How to Train Your Dragon: The Hidden World,Toy Story 4,Spider-Man: Far From Home,Shazam!,
Marriage Story,Give Me Liberty,Once Upon a Time in Hollywood,Sorry Angel,Non-Fiction,Parasite,Booksmart,Hustlers,End of the Century,Us,,
The Last Black Man in San Francisco,The Irishman,Apollo 11,Parasite,Once Upon a Time in Hollywood,Portrait of a Lady on Fire,Waves,I Lost My Body,An Elephant Sitting Still,The Souvenir,,
Once Upon a Time in Hollywood,Uncut Gems,Little Women,The Irishman,Portrait of a Lady on Fire,The Last Black Man in San Francisco,Ford v Ferrari,1917,Les Miserables,Cold Case Hammerskjold,,
Pain and Glory,Parasite,Marriage Story,The Souvenir,Invisible Life,Once Upon a Time in Hollywood,Give Me Liberty,Portrait of a Lady on Fire,The Irishman,Us,,
Parasite,Marriage Story,Pain and Glory,The Farewell,Waves,1917,The Last Black Man in San Francisco,The Irishman,Better Days,Ad Astra,,
Parasite,Once Upon a Time in Hollywood,Her Smell,Hustlers,Portrait of a Lady on Fire,Little Women,The Farewell,Uncut Gems,Pain and Glory,Climax,,
Parasite,High Life,Ash Is Purest White,Long Day's Journey Into Night,Uncut Gems,The Farewell,Us,Asako 1+2,An Elephant Sitting Still,La Flor,,
Jojo Rabbit,Parasite,Little Women,Marriage Story,Ford v Ferrari,The Farewell,Knives Out,Once Upon a Time in Hollywood,Joker,1917,,
Parasite,Transit,Portrait of a Lady on Fire,Climax,Pain and Glory,Diane,Les Miserables,Joker,Ash Is Purest White,The Last Black Man in San Francisco,,
Once Upon a Time in Hollywood,The Aeronauts,Avengers: Endgame,Knives Out,Portrait of a Lady on Fire,Yesterday,Blinded by the Light,1917,Doctor Sleep,Rocketman,,
Little Women,Marriage Story,If Beale Street Could Talk,The Favourite,Eighth Grade,Once Upon a Time in Hollywood,The Irishman,Booksmart,Can You Ever Forgive Me?,For Sama,,
Once Upon a Time in Hollywood,Greener Grass,Aquarela,Long Day's Journey Into Night,High Life,American Factory,Portrait of a Lady on Fire,Parasite,Marriage Story,Uncut Gems,,
